capability_id	fixture_ids	acceptance_criteria	target_owner	delivery_phase
LOCAL-OSE-FSHARP-SHARED-REPO-GOVERNANCE-TRACEABILITY-VALIDATE	FX-LOCAL-OSE-FSHARP-SHARED-REPO-GOVERNANCE-TRACEABILITY-VALIDATE-POS;FX-LOCAL-OSE-FSHARP-SHARED-REPO-GOVERNANCE-TRACEABILITY-VALIDATE-NEG	AC-03;AC-16	rhino-v0.4	2
LOCAL-OSE-FSHARP-SHARED-REPO-GOVERNANCE-VENDOR-VALIDATE	FX-LOCAL-OSE-FSHARP-SHARED-REPO-GOVERNANCE-VENDOR-VALIDATE-POS;FX-LOCAL-OSE-FSHARP-SHARED-REPO-GOVERNANCE-VENDOR-VALIDATE-NEG	AC-03;AC-16	rhino-v0.4	2
LOCAL-OSE-FSHARP-SHARED-TEST-COVERAGE-VALIDATE	FX-LOCAL-OSE-FSHARP-SHARED-TEST-COVERAGE-VALIDATE-POS;FX-LOCAL-OSE-FSHARP-SHARED-TEST-COVERAGE-VALIDATE-NEG	AC-03;AC-16	rhino-v0.4	2
LOCAL-RHINO-CONVENTION-EMOJI-VALIDATE	FX-LOCAL-RHINO-CONVENTION-EMOJI-VALIDATE-POS;FX-LOCAL-RHINO-CONVENTION-EMOJI-VALIDATE-NEG	AC-03;AC-16	rhino-v0.4	2
LOCAL-RHINO-GATE-RUN	FX-LOCAL-RHINO-GATE-RUN-POS;FX-LOCAL-RHINO-GATE-RUN-NEG	AC-04;AC-08A;AC-08B;AC-08C;AC-08D;AC-08E;AC-08F	rhino-v0.4	2
LOCAL-RHINO-GOVERNANCE-COMPANIONS-VALIDATE	FX-LOCAL-RHINO-GOVERNANCE-COMPANIONS-VALIDATE-POS;FX-LOCAL-RHINO-GOVERNANCE-COMPANIONS-VALIDATE-NEG	AC-03;AC-16	rhino-v0.4	2
LOCAL-RHINO-GOVERNANCE-DIRECTORY-MAP-VALIDATE	FX-LOCAL-RHINO-GOVERNANCE-DIRECTORY-MAP-VALIDATE-POS;FX-LOCAL-RHINO-GOVERNANCE-DIRECTORY-MAP-VALIDATE-NEG	AC-03;AC-16	rhino-v0.4	2
LOCAL-RHINO-GOVERNANCE-INSTRUCTIONS-VALIDATE	FX-LOCAL-RHINO-GOVERNANCE-INSTRUCTIONS-VALIDATE-POS;FX-LOCAL-RHINO-GOVERNANCE-INSTRUCTIONS-VALIDATE-NEG	AC-03;AC-16	rhino-v0.4	2
LOCAL-RHINO-GOVERNANCE-ROOTS-VALIDATE	FX-LOCAL-RHINO-GOVERNANCE-ROOTS-VALIDATE-POS;FX-LOCAL-RHINO-GOVERNANCE-ROOTS-VALIDATE-NEG	AC-03;AC-16	rhino-v0.4	2
LOCAL-RHINO-GOVERNANCE-WORD-BUDGET-VALIDATE	FX-LOCAL-RHINO-GOVERNANCE-WORD-BUDGET-VALIDATE-POS;FX-LOCAL-RHINO-GOVERNANCE-WORD-BUDGET-VALIDATE-NEG	AC-03;AC-16	rhino-v0.4	2
LOCAL-RHINO-HARNESS-PARITY-VALIDATE	FX-LOCAL-RHINO-HARNESS-PARITY-VALIDATE-POS;FX-LOCAL-RHINO-HARNESS-PARITY-VALIDATE-NEG	AC-09;AC-10;AC-11	rhino-v0.4	2
LOCAL-RHINO-MD-FRONTMATTER-VALIDATE	FX-LOCAL-RHINO-MD-FRONTMATTER-VALIDATE-POS;FX-LOCAL-RHINO-MD-FRONTMATTER-VALIDATE-NEG	AC-03;AC-16	rhino-v0.4	2
LOCAL-RHINO-MD-HEADING-HIERARCHY-VALIDATE	FX-LOCAL-RHINO-MD-HEADING-HIERARCHY-VALIDATE-POS;FX-LOCAL-RHINO-MD-HEADING-HIERARCHY-VALIDATE-NEG	AC-03;AC-16	rhino-v0.4	2
LOCAL-RHINO-MD-INTERNAL-LINK-VALIDATE	FX-LOCAL-RHINO-MD-INTERNAL-LINK-VALIDATE-POS;FX-LOCAL-RHINO-MD-INTERNAL-LINK-VALIDATE-NEG	AC-03;AC-16	rhino-v0.4	2
LOCAL-RHINO-MD-MERMAID-VALIDATE	FX-LOCAL-RHINO-MD-MERMAID-VALIDATE-POS;FX-LOCAL-RHINO-MD-MERMAID-VALIDATE-NEG	AC-03;AC-16	rhino-v0.4	2
LOCAL-RHINO-MD-NAMING-VALIDATE	FX-LOCAL-RHINO-MD-NAMING-VALIDATE-POS;FX-LOCAL-RHINO-MD-NAMING-VALIDATE-NEG	AC-03;AC-16	rhino-v0.4	2
LOCAL-RHINO-MD-README-INDEX-VALIDATE	FX-LOCAL-RHINO-MD-README-INDEX-VALIDATE-POS;FX-LOCAL-RHINO-MD-README-INDEX-VALIDATE-NEG	AC-03;AC-16	rhino-v0.4	2
LOCAL-RHINO-MD-WORD-COUNT-INSPECT	FX-LOCAL-RHINO-MD-WORD-COUNT-INSPECT-POS;FX-LOCAL-RHINO-MD-WORD-COUNT-INSPECT-NEG	AC-03;AC-16	rhino-v0.4	2
LOCAL-RHINO-METADATA-VALIDATE	FX-LOCAL-RHINO-METADATA-VALIDATE-POS;FX-LOCAL-RHINO-METADATA-VALIDATE-NEG	AC-03;AC-16	rhino-v0.4	2
LOCAL-RHINO-PLAN-VALIDATE	FX-LOCAL-RHINO-PLAN-VALIDATE-POS;FX-LOCAL-RHINO-PLAN-VALIDATE-NEG	AC-03;AC-16	rhino-v0.4	2
LOCAL-RHINO-REPO-CONFIG-VALIDATE	FX-LOCAL-RHINO-REPO-CONFIG-VALIDATE-POS;FX-LOCAL-RHINO-REPO-CONFIG-VALIDATE-NEG	AC-05;AC-06;AC-07;AC-08	rhino-v0.4	2
LOCAL-RHINO-VERSION	FX-LOCAL-RHINO-VERSION-POS;FX-LOCAL-RHINO-VERSION-NEG	AC-03;AC-16	rhino-v0.4	2
BUTLER-BUTLER-HARNESS-NAMING-VALIDATE	FX-BUTLER-BUTLER-HARNESS-NAMING-VALIDATE-POS;FX-BUTLER-BUTLER-HARNESS-NAMING-VALIDATE-NEG	AC-19	wkf-knowledge-butler	15
BUTLER-BUTLER-JOB-REPORT	FX-BUTLER-BUTLER-JOB-REPORT-POS;FX-BUTLER-BUTLER-JOB-REPORT-NEG	AC-19	wkf-knowledge-butler	15
BUTLER-BUTLER-LANG-SOURCE-NAMING-VALIDATE	FX-BUTLER-BUTLER-LANG-SOURCE-NAMING-VALIDATE-POS;FX-BUTLER-BUTLER-LANG-SOURCE-NAMING-VALIDATE-NEG	AC-19	wkf-knowledge-butler	15
BUTLER-BUTLER-PDF-FROM-MD	FX-BUTLER-BUTLER-PDF-FROM-MD-POS;FX-BUTLER-BUTLER-PDF-FROM-MD-NEG	AC-19	wkf-knowledge-butler	15
BUTLER-BUTLER-PDF-SPLIT	FX-BUTLER-BUTLER-PDF-SPLIT-POS;FX-BUTLER-BUTLER-PDF-SPLIT-NEG	AC-19	wkf-knowledge-butler	15
BUTLER-BUTLER-PDF-UNPROTECT	FX-BUTLER-BUTLER-PDF-UNPROTECT-POS;FX-BUTLER-BUTLER-PDF-UNPROTECT-NEG	AC-19	wkf-knowledge-butler	15
BUTLER-BUTLER-REPO-GOVERNANCE-WORKFLOWS-NAMING-VALIDATE	FX-BUTLER-BUTLER-REPO-GOVERNANCE-WORKFLOWS-NAMING-VALIDATE-POS;FX-BUTLER-BUTLER-REPO-GOVERNANCE-WORKFLOWS-NAMING-VALIDATE-NEG	AC-19	wkf-knowledge-butler	15
BUTLER-BUTLER-TEST-COVERAGE-VALIDATE	FX-BUTLER-BUTLER-TEST-COVERAGE-VALIDATE-POS;FX-BUTLER-BUTLER-TEST-COVERAGE-VALIDATE-NEG	AC-19	wkf-knowledge-butler	15
